aspect_id,judge,score
00034b9414,J1,9.0
00034b9414,J2,9.0
00034b9414,J3,8.75
00034b9414,J4,9.25
00034b9414,J5,9.0
00034b9414,J6,9.5
00034b9414,J7,9.25
00034b9414,J8,9.0
00034b9414,J9,9.0
0004dd08d6,J1,6.5
0004dd08d6,J2,6.75
0004dd08d6,J3,7.0
0004dd08d6,J4,6.5
0004dd08d6,J5,6.0
0004dd08d6,J6,6.5
0004dd08d6,J7,6.5
0004dd08d6,J8,6.75
0004dd08d6,J9,7.0
000b8b5070,J1,7.5
000b8b5070,J2,7.0
000b8b5070,J3,8.25
000b8b5070,J4,7.75
000b8b5070,J5,7.5
000b8b5070,J6,7.25
000b8b5070,J7,8.0
000b8b5070,J8,8.0
000b8b5070,J9,7.75
000cec97c9,J1,4.0
000cec97c9,J2,5.0
000cec97c9,J3,4.25
000cec97c9,J4,5.0
000cec97c9,J5,4.75
000cec97c9,J6,4.75
000cec97c9,J7,4.5
000cec97c9,J8,4.75
000cec97c9,J9,5.75
000df5399a,J1,-1.0
000df5399a,J2,-1.0
000df5399a,J3,-1.0
000df5399a,J4,0.0
000df5399a,J5,-1.0
000df5399a,J6,1.0
000df5399a,J7,1.0
000df5399a,J8,-2.0
000df5399a,J9,1.0
000f259b7c,J1,2.0
000f259b7c,J2,1.0
000f259b7c,J3,1.0
000f259b7c,J4,1.0
000f259b7c,J5,1.0
000f259b7c,J6,2.0
000f259b7c,J7,2.0
000f259b7c,J8,1.0
000f259b7c,J9,1.0
001282e1b1,J1,6.5
001282e1b1,J2,7.25
001282e1b1,J3,7.5
001282e1b1,J4,7.25
001282e1b1,J5,6.0
001282e1b1,J6,5.75
001282e1b1,J7,7.0
001282e1b1,J8,6.75
001282e1b1,J9,7.0
00128313ed,J1,7.5
00128313ed,J2,7.5
00128313ed,J3,7.75
00128313ed,J4,7.75
00128313ed,J5,7.5
00128313ed,J6,6.75
00128313ed,J7,8.0
00128313ed,J8,7.25
00128313ed,J9,7.5
0015b0e54a,J1,1.0
0015b0e54a,J2,1.0
0015b0e54a,J3,1.0
0015b0e54a,J4,1.0
0015b0e54a,J5,0.0
0015b0e54a,J6,0.0
0015b0e54a,J7,1.0
0015b0e54a,J8,1.0
0015b0e54a,J9,0.0
001603ebc7,J1,8.25
001603ebc7,J2,7.75
001603ebc7,J3,7.5
001603ebc7,J4,7.5
001603ebc7,J5,7.75
001603ebc7,J6,7.5
001603ebc7,J7,7.75
001603ebc7,J8,8.25
001603ebc7,J9,7.5
00184539f1,J1,0.0
00184539f1,J2,0.0
00184539f1,J3,1.0
00184539f1,J4,1.0
00184539f1,J5,0.0
00184539f1,J6,0.0
00184539f1,J7,0.0
00184539f1,J8,1.0
00184539f1,J9,0.0
001b2ac98b,J1,7.25
001b2ac98b,J2,7.5
001b2ac98b,J3,7.0
001b2ac98b,J4,6.5
001b2ac98b,J5,7.0
001b2ac98b,J6,7.25
001b2ac98b,J7,7.75
001b2ac98b,J8,7.25
001b2ac98b,J9,8.0
001d80257c,J1,0.0
001d80257c,J2,2.0
001d80257c,J3,2.0
001d80257c,J4,1.0
001d80257c,J5,2.0
001d80257c,J6,1.0
001d80257c,J7,1.0
001d80257c,J8,1.0
001d80257c,J9,1.0
001fb6b249,J1,6.5
001fb6b249,J2,6.5
001fb6b249,J3,6.5
001fb6b249,J4,6.5
001fb6b249,J5,6.0
001fb6b249,J6,6.5
001fb6b249,J7,6.5
001fb6b249,J8,5.75
001fb6b249,J9,6.25
002086c941,J1,1.0
002086c941,J2,1.0
002086c941,J3,2.0
002086c941,J4,1.0
002086c941,J5,1.0
002086c941,J6,1.0
002086c941,J7,1.0
002086c941,J8,1.0
002086c941,J9,1.0
002472182a,J1,0.0
002472182a,J2,1.0
002472182a,J3,0.0
002472182a,J4,0.0
002472182a,J5,1.0
002472182a,J6,1.0
002472182a,J7,1.0
002472182a,J8,0.0
002472182a,J9,0.0
00252dff35,J1,1.0
00252dff35,J2,0.0
00252dff35,J3,0.0
00252dff35,J4,0.0
00252dff35,J5,0.0
00252dff35,J6,0.0
00252dff35,J7,0.0
00252dff35,J8,0.0
00252dff35,J9,1.0
0025cdbd22,J1,10.0
0025cdbd22,J2,9.25
0025cdbd22,J3,9.5
0025cdbd22,J4,9.5
0025cdbd22,J5,9.75
0025cdbd22,J6,9.5
0025cdbd22,J7,9.5
0025cdbd22,J8,9.5
0025cdbd22,J9,9.25
003441b900,J1,1.0
003441b900,J2,3.0
003441b900,J3,2.0
003441b900,J4,2.0
003441b900,J5,1.0
003441b900,J6,2.0
003441b900,J7,1.0
003441b900,J8,2.0
003441b900,J9,2.0
0034c1a1b7,J1,-3.0
0034c1a1b7,J2,-3.0
0034c1a1b7,J3,-3.0
0034c1a1b7,J4,-3.0
0034c1a1b7,J5,-3.0
0034c1a1b7,J6,-3.0
0034c1a1b7,J7,-3.0
0034c1a1b7,J8,-3.0
0034c1a1b7,J9,-3.0
0034fff37e,J1,7.75
0034fff37e,J2,7.25
0034fff37e,J3,7.0
0034fff37e,J4,7.75
0034fff37e,J5,6.75
0034fff37e,J6,8.0
0034fff37e,J7,6.75
0034fff37e,J8,7.25
0034fff37e,J9,7.25
003671752c,J1,0.0
003671752c,J2,0.0
003671752c,J3,0.0
003671752c,J4,1.0
003671752c,J5,0.0
003671752c,J6,1.0
003671752c,J7,0.0
003671752c,J8,0.0
003671752c,J9,0.0
