performance_id,competition,program,name,nation,rank,starting_number,total_segment_score,total_element_score,total_component_score,total_deductions
6e4bd41ac5,Grand Prix Final 2017 Senior and Junior,ICE DANCE FREE DANCE,Anna CAPPELLINI / Luca LANOTTE,ITA,5,1,110.99,56.01,54.98,0.00
562c01c5a6,Grand Prix Final 2017 Senior and Junior,ICE DANCE FREE DANCE,Madison HUBBELL / Zachary DONOHUE,USA,4,2,112.59,57.42,55.17,0.00
2de894c029,Grand Prix Final 2017 Senior and Junior,ICE DANCE FREE DANCE,Madison CHOCK / Evan BATES,USA,3,3,112.79,57.25,55.54,0.00
06e4b8b67e,Grand Prix Final 2017 Senior and Junior,ICE DANCE FREE DANCE,Maia SHIBUTANI / Alex SHIBUTANI,USA,6,4,109.91,54.15,55.76,0.00
72e3228deb,Grand Prix Final 2017 Senior and Junior,ICE DANCE FREE DANCE,Tessa VIRTUE / Scott MOIR,CAN,2,5,118.33,59.66,58.67,0.00
08c6ee8862,Grand Prix Final 2017 Senior and Junior,ICE DANCE FREE DANCE,Gabriella PAPADAKIS / Guillaume CIZERON,FRA,1,6,120.09,60.85,59.24,0.00
c080766775,Grand Prix Final 2017 Senior and Junior,ICE DANCE SHORT DANCE,Anna CAPPELLINI / Luca LANOTTE,ITA,6,1,74.24,37.87,36.37,0.00
4edddce1b5,Grand Prix Final 2017 Senior and Junior,ICE DANCE SHORT DANCE,Madison HUBBELL / Zachary DONOHUE,USA,4,2,74.81,38.22,36.59,0.00
57288bfe78,Grand Prix Final 2017 Senior and Junior,ICE DANCE SHORT DANCE,Madison CHOCK / Evan BATES,USA,5,3,74.36,38.08,36.28,0.00
a6d14ef399,Grand Prix Final 2017 Senior and Junior,ICE DANCE SHORT DANCE,Maia SHIBUTANI / Alex SHIBUTANI,USA,3,4,78.09,40.85,37.24,0.00
e46b31fd53,Grand Prix Final 2017 Senior and Junior,ICE DANCE SHORT DANCE,Tessa VIRTUE / Scott MOIR,CAN,2,5,81.53,42.56,38.97,0.00
79f24aec6d,Grand Prix Final 2017 Senior and Junior,ICE DANCE SHORT DANCE,Gabriella PAPADAKIS / Guillaume CIZERON,FRA,1,6,82.07,42.93,39.14,0.00
3a0d0ed16e,Grand Prix Final 2017 Senior and Junior,JUNIOR ICE DANCE FREE DANCE,Arina USHAKOVA / Maxim NEKRASOV,RUS,5,1,83.35,38.56,44.79,0.00
a55d5cb354,Grand Prix Final 2017 Senior and Junior,JUNIOR ICE DANCE FREE DANCE,Marjorie LAJOIE / Zachary LAGHA,CAN,6,2,80.76,35.98,44.78,0.00
7cf920a3fa,Grand Prix Final 2017 Senior and Junior,JUNIOR ICE DANCE FREE DANCE,Sofia SHEVCHENKO / Igor EREMENKO,RUS,4,3,84.28,38.69,45.59,0.00
99cb29df3f,Grand Prix Final 2017 Senior and Junior,JUNIOR ICE DANCE FREE DANCE,Sofia POLISHCHUK / Alexander VAKHNOV,RUS,3,4,85.87,39.48,46.39,0.00
d4cdcb3c58,Grand Prix Final 2017 Senior and Junior,JUNIOR ICE DANCE FREE DANCE,Anastasia SKOPTCOVA / Kirill ALESHIN,RUS,1,5,87.74,40.37,47.37,0.00
a3e5ee4a82,Grand Prix Final 2017 Senior and Junior,JUNIOR ICE DANCE FREE DANCE,Christina CARREIRA / Anthony PONOMARENKO,USA,2,6,87.66,39.94,47.72,0.00
04887154cd,Grand Prix Final 2017 Senior and Junior,JUNIOR ICE DANCE SHORT DANCE,Arina USHAKOVA / Maxim NEKRASOV,RUS,6,1,58.53,30.27,28.26,0.00
4601d59745,Grand Prix Final 2017 Senior and Junior,JUNIOR ICE DANCE SHORT DANCE,Sofia SHEVCHENKO / Igor EREMENKO,RUS,5,2,60.10,30.73,29.37,0.00
d210319c75,Grand Prix Final 2017 Senior and Junior,JUNIOR ICE DANCE SHORT DANCE,Marjorie LAJOIE / Zachary LAGHA,CAN,4,3,60.52,30.84,29.68,0.00
dcb86d03c6,Grand Prix Final 2017 Senior and Junior,JUNIOR ICE DANCE SHORT DANCE,Sofia POLISHCHUK / Alexander VAKHNOV,RUS,3,4,63.17,33.28,29.89,0.00
aef7233a31,Grand Prix Final 2017 Senior and Junior,JUNIOR ICE DANCE SHORT DANCE,Anastasia SKOPTCOVA / Kirill ALESHIN,RUS,1,5,65.87,34.99,30.88,0.00
93ffbbc402,Grand Prix Final 2017 Senior and Junior,JUNIOR ICE DANCE SHORT DANCE,Christina CARREIRA / Anthony PONOMARENKO,USA,2,6,64.10,32.59,31.51,0.00
6ee8b6b463,Grand Prix Final 2017 Senior and Junior,JUNIOR LADIES FREE SKATING,Daria PANENKOVA,RUS,5,1,125.51,70.66,54.85,0.00
82caf1d662,Grand Prix Final 2017 Senior and Junior,JUNIOR LADIES FREE SKATING,Rika KIHIRA,JPN,4,2,125.63,67.12,58.51,0.00
513766f4d5,Grand Prix Final 2017 Senior and Junior,JUNIOR LADIES FREE SKATING,Sofia SAMODUROVA,RUS,6,3,122.73,67.12,55.61,0.00
efbed79df3,Grand Prix Final 2017 Senior and Junior,JUNIOR LADIES FREE SKATING,Anastasia TARAKANOVA,RUS,3,4,131.74,72.99,58.75,0.00
fa00856985,Grand Prix Final 2017 Senior and Junior,JUNIOR LADIES FREE SKATING,Alena KOSTORNAIA,RUS,1,5,132.93,72.89,60.04,0.00
a906f76fc8,Grand Prix Final 2017 Senior and Junior,JUNIOR LADIES FREE SKATING,Alexandra TRUSOVA,RUS,2,6,132.36,73.72,59.64,1.00
d45813fe0a,Grand Prix Final 2017 Senior and Junior,JUNIOR LADIES SHORT PROGRAM,Rika KIHIRA,JPN,4,1,66.82,38.65,28.17,0.00
b1a6802802,Grand Prix Final 2017 Senior and Junior,JUNIOR LADIES SHORT PROGRAM,Anastasia TARAKANOVA,RUS,3,2,67.90,39.56,28.34,0.00
42bdc142db,Grand Prix Final 2017 Senior and Junior,JUNIOR LADIES SHORT PROGRAM,Daria PANENKOVA,RUS,5,3,65.65,38.07,27.58,0.00
237b60def7,Grand Prix Final 2017 Senior and Junior,JUNIOR LADIES SHORT PROGRAM,Alena KOSTORNAIA,RUS,2,4,71.65,41.42,30.23,0.00
f0fa95c3c1,Grand Prix Final 2017 Senior and Junior,JUNIOR LADIES SHORT PROGRAM,Sofia SAMODUROVA,RUS,6,5,65.01,36.84,28.17,0.00
b54bf81af7,Grand Prix Final 2017 Senior and Junior,JUNIOR LADIES SHORT PROGRAM,Alexandra TRUSOVA,RUS,1,6,73.25,42.96,30.29,0.00
f84eb297be,Grand Prix Final 2017 Senior and Junior,JUNIOR MEN FREE SKATING,Andrew TORGASHEV,USA,6,1,95.76,38.76,60.00,3.00
35cbd7bcd3,Grand Prix Final 2017 Senior and Junior,JUNIOR MEN FREE SKATING,Camden PULKINEN,USA,2,2,146.20,75.48,70.72,0.00
9fc2488966,Grand Prix Final 2017 Senior and Junior,JUNIOR MEN FREE SKATING,Makar IGNATOV,RUS,4,3,136.21,70.13,67.08,1.00
fcc7be8921,Grand Prix Final 2017 Senior and Junior,JUNIOR MEN FREE SKATING,Alexey EROKHOV,RUS,5,4,128.65,65.43,65.22,2.00
14ee5aeded,Grand Prix Final 2017 Senior and Junior,JUNIOR MEN FREE SKATING,Alexei KRASNOZHON,USA,1,5,155.02,82.88,72.14,0.00
355f85b584,Grand Prix Final 2017 Senior and Junior,JUNIOR MEN FREE SKATING,Mitsuki SUMOTO,JPN,3,6,137.35,67.69,70.66,1.00
de2a178fe1,Grand Prix Final 2017 Senior and Junior,JUNIOR MEN SHORT PROGRAM,Andrew TORGASHEV,USA,6,1,64.73,31.01,33.72,0.00
67b7748193,Grand Prix Final 2017 Senior and Junior,JUNIOR MEN SHORT PROGRAM,Makar IGNATOV,RUS,4,2,75.78,40.67,35.11,0.00
a68cb73be6,Grand Prix Final 2017 Senior and Junior,JUNIOR MEN SHORT PROGRAM,Mitsuki SUMOTO,JPN,3,3,77.10,41.73,35.37,0.00
0a6761af7d,Grand Prix Final 2017 Senior and Junior,JUNIOR MEN SHORT PROGRAM,Camden PULKINEN,USA,5,4,70.90,35.57,35.33,0.00
391fe7ed63,Grand Prix Final 2017 Senior and Junior,JUNIOR MEN SHORT PROGRAM,Alexei KRASNOZHON,USA,1,5,81.33,45.26,36.07,0.00
efec5be671,Grand Prix Final 2017 Senior and Junior,JUNIOR MEN SHORT PROGRAM,Alexey EROKHOV,RUS,2,6,78.39,42.72,35.67,0.00
7ca128ecb3,Grand Prix Final 2017 Senior and Junior,JUNIOR PAIRS FREE SKATING,Aleksandra BOIKOVA / Dmitrii KOZLOVSKII,RUS,5,1,104.88,55.65,50.23,1.00
c770ab6a40,Grand Prix Final 2017 Senior and Junior,JUNIOR PAIRS FREE SKATING,Anastasia POLUIANOVA / Dmitry SOPOT,RUS,6,2,103.19,53.87,49.32,0.00
7ffa0b15bc,Grand Prix Final 2017 Senior and Junior,JUNIOR PAIRS FREE SKATING,Yumeng GAO / Zhong XIE,CHN,4,3,105.56,52.90,52.66,0.00
d3e0ac66f3,Grand Prix Final 2017 Senior and Junior,JUNIOR PAIRS FREE SKATING,Daria PAVLIUCHENKO / Denis KHODYKIN,RUS,2,4,113.43,59.59,53.84,0.00
9fead484d6,Grand Prix Final 2017 Senior and Junior,JUNIOR PAIRS FREE SKATING,Ekaterina ALEXANDROVSKAYA / Harley WINDSOR,AUS,1,5,113.59,58.98,55.61,1.00
f5f08aa61b,Grand Prix Final 2017 Senior and Junior,JUNIOR PAIRS FREE SKATING,Apollinariia PANFILOVA / Dmitry RYLOV,RUS,3,6,112.20,56.69,55.51,0.00
d291ef9278,Grand Prix Final 2017 Senior and Junior,JUNIOR PAIRS SHORT PROGRAM,Yumeng GAO / Zhong XIE,CHN,4,1,59.47,33.27,26.20,0.00
7853f8634b,Grand Prix Final 2017 Senior and Junior,JUNIOR PAIRS SHORT PROGRAM,Aleksandra BOIKOVA / Dmitrii KOZLOVSKII,RUS,6,2,55.92,30.46,26.46,1.00
b749379307,Grand Prix Final 2017 Senior and Junior,JUNIOR PAIRS SHORT PROGRAM,Anastasia POLUIANOVA / Dmitry SOPOT,RUS,5,3,57.28,32.39,24.89,0.00
4aba0dc320,Grand Prix Final 2017 Senior and Junior,JUNIOR PAIRS SHORT PROGRAM,Ekaterina ALEXANDROVSKAYA / Harley WINDSOR,AUS,2,4,60.26,33.13,27.13,0.00
36f1c73456,Grand Prix Final 2017 Senior and Junior,JUNIOR PAIRS SHORT PROGRAM,Apollinariia PANFILOVA / Dmitry RYLOV,RUS,1,5,60.81,34.41,26.40,0.00
545fab1e67,Grand Prix Final 2017 Senior and Junior,JUNIOR PAIRS SHORT PROGRAM,Daria PAVLIUCHENKO / Denis KHODYKIN,RUS,3,6,59.51,33.26,27.25,1.00
